timestep,episode,episode_reward,episode_length,wall_time,policy_loss,value_loss,entropy,approx_kl
54755,694,6.605,137,168.96,,,,
54890,695,5.87,135,169.22,,,,
55026,696,5.752,136,169.46,,,,
55160,697,5.905,134,169.69,,,,
55281,698,5.316,121,169.9,,,,
55411,699,5.865,130,172.15,,,,
55530,700,5.103,119,172.36,,,,
55664,701,6.282,134,172.6,,,,
55797,702,5.604,133,172.86,,,,
55859,703,2.055,62,172.98,,,,
55987,704,6.009,128,173.24,,,,
56124,705,5.813,137,173.5,,,,
56253,706,5.322,129,173.72,,,,
56390,707,6.367,137,173.96,,,,
56533,708,6.698,143,174.23,,,,
56680,709,6.74,147,174.48,,,,
56817,710,6.609,137,174.71,,,,
56955,711,6.522,138,174.98,,,,
57094,712,6.349,139,175.21,,,,
57224,713,5.547,130,175.43,,,,
57357,714,6.377,133,178.02,,,,
57497,715,6.633,140,178.26,,,,
57637,716,6.253,140,178.51,,,,
57790,717,7.13,153,178.8,,,,
57923,718,5.853,133,179.05,,,,
58053,719,6.197,130,179.32,,,,
58177,720,5.194,124,179.53,,,,
58309,721,5.914,132,179.75,,,,
58446,722,6.617,137,179.99,,,,
58583,723,6.269,137,180.23,,,,
58730,724,7.06,147,180.48,,,,
